,Title,Description,Price
0,ایفون۱۳نرمال سفید دوسیم کارت ۱۲۸گیگ,نو,20000000
1,ایفون ۱۳ حافظه ۱۲۸,نو,14000000
2,اپل iPhone 13 Pro Max با حافظهٔ ۲۵۶ گیگابایت,کارکرده,64500000
3,اپل iPhone 13 Pro Max با حافظهٔ ۲۵۶ گیگابایت,در حد نو,74300000
4,آیفون ۱۳پرو حافظه ۲۵۶,در حد نو,21000000
5,اپل iPhone 13 با حافظهٔ ۱۲۸ گیگابایت,نو,10500000
6,Iphone 13 128 آیفون ۱۳ ۱۲۸,نو,13000000
7,Iphone 13 ProMax 256 آیفون ۱۳ پرومکس ۲۵۶,در حد نو,23000000
8,ایفون ۱۳پرو آبی ۲۵۶گیگ آکبند,نو,35000000
9,آیفون ۱۳ پرو مکس آبی iphone 13 pro max,نو,40000000
10,آیفون ۱۳ سفید iphone 13,نو,18500000
11,اپل iPhone 13 اکبند۱۸ ماه گارانتی ۱۲۸گیگ,نو,15000000
12,اپل اکبندجشنوارهiPhone 13 Pro Max حافظهٔ۲۵۶ گیگ*,نو,20000000
13,اپل iPhone 13 با حافظهٔ ۱۲۸ گیگابایت,نو,36100000
14,آیفون iPhone 13 ۱۲۸ گیگابایت,نو,35500000
15,اپل iPhone 13  رنگ بندی  ۱۲۸ گیگابایت,نو,12000000
16,اپل iPhone 13 Pro Max با حافظهٔ ۲۵۶ گیگابایت,در حد نو,72000000
17,اپل iPhone 13 صورتی با حافظهٔ ۱۲۸ گیگابایت,نو,19000000
18,iPhone 13 128 Blue ابی,نو,21000000
19,ایفون ۱۳ پرو گرافیت با حافظه ۲۵۶گیگ,نو,30000000
20,ایفون ۱۳ نرمال با حافظه ۱۲۸گیگ آبی,نو,13000000
21,ایفون ۱۳پرو ابی ۲۵۶گیگ دوسیم,نو,19000000
22,آیفون ۱۳,نو,14500000
23,ایفون۱۳پرو ۲۵۶گیگ آکبند,نو,35000000
